query,company_name,job_title,job_location,linkedin_job_url,website_url,career_url,job_list_url,opening_url,result_status,pipeline_status,error,reason_code,external_apply_exact,provider_search_exact,website_career_exact,route_union_exact,manual_disposition,manual_notes
Cybersecurity Analyst,North Dakota Information Technology (NDIT),Cyber Security Analyst,"Fargo, ND",https://www.linkedin.com/jobs/view/cyber-security-analyst-at-north-dakota-information-technology-ndit-4440062680,https://www.ndit.nd.gov,https://www.ndit.nd.gov/about-us/careers,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Cybersecurity Analyst,University of Oklahoma,GRC Analyst Intermediate,"Norman, OK",https://www.linkedin.com/jobs/view/grc-analyst-intermediate-at-university-of-oklahoma-4430146950,,,,,failed,failed,fetch_failed,NETWORK_TIMEOUT,False,False,False,False,,
UX Designer,STEAMe,Product Designer,"Chicago, IL",https://www.linkedin.com/jobs/view/product-designer-at-steame-4426611583,https://steame.com,https://steamellc.applytojob.com/apply,https://steamellc.applytojob.com/apply/,https://steamellc.applytojob.com/apply/bZPr6g95VI/Product-Designer,success,success,,,False,False,True,True,,
UX Designer,CHAMP,Product Designer,"Cleveland, OH",https://www.linkedin.com/jobs/view/product-designer-at-champ-4440077513,https://www.champtitles.com/,https://www.champtitles.com/open-positions/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
UX Designer,EnsoData,User Experience (UX) Designer,"Madison, WI",https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-ensodata-4440315938,https://www.ensodata.com/,https://apply.workable.com/ensodata/?lng=en,https://apply.workable.com/ensodata/,https://apply.workable.com/ensodata/j/9A338B5C7A/,success,success,,,False,False,True,True,,
UX Designer,Holland America Line,UX Designer,"Seattle, WA",https://www.linkedin.com/jobs/view/ux-designer-at-holland-america-line-4441219545,https://www.hollandamerica.com/en,https://www.hollandamerica.com/en/about/our-company/careers,https://eicl.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/HAGroup,https://eicl.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/HAGroup/job/13555,success,success,,,False,False,True,True,,
UX Designer,ARUP Laboratories,UX (User Experience) Designer II,"Salt Lake City, UT",https://www.linkedin.com/jobs/view/ux-user-experience-designer-ii-at-arup-laboratories-4441135780,,,,,failed,failed,fetch_failed,NETWORK_TIMEOUT,False,False,False,False,,
UX Designer,IMG (International Medical Group),UX Designer,"Indianapolis, IN",https://www.linkedin.com/jobs/view/ux-designer-at-img-international-medical-group-4426438449,https://www.imglobal.com,https://www.imglobal.com/careers,,,partial,partial,company_time_budget_exhausted,COMPANY_TIME_BUDGET_EXHAUSTED,False,False,False,False,,
UX Designer,The Home Depot,UX DESIGNER II,"Atlanta, GA",https://www.linkedin.com/jobs/view/ux-designer-ii-at-the-home-depot-4434655643,https://www.homedepot.com/,https://careers.homedepot.com/,,,partial,partial,company_time_budget_exhausted,COMPANY_TIME_BUDGET_EXHAUSTED,False,False,False,False,,
UX Designer,Necessary Ventures,User Experience (UX) Designer,"Madison, WI",https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-necessary-ventures-4437656059,https://www.necessary.vc,https://jobs.necessary.vc/jobs,https://jobs.necessary.vc/jobs,,success,partial,,NETWORK_TIMEOUT,False,False,False,False,,
UX Designer,Versana,UX Designer,"Raleigh, NC",https://www.linkedin.com/jobs/view/ux-designer-at-versana-4429309954,https://versana.io,https://versana.io/careers/,https://jobs.lever.co/Versana,https://jobs.lever.co/Versana/fb567b68-8fc6-4f7b-a8ca-bd99233dbd12,success,success,,,False,False,True,True,,
UX Designer,Frost,User Experience Designer II,"San Antonio, TX",https://www.linkedin.com/jobs/view/user-experience-designer-ii-at-frost-4406714624,https://www.frostbank.com/,https://careers.frostbank.com/us/en,https://careers.frostbank.com/us/en/search-results,https://careers.frostbank.com/us/en/job/R260731/user-experience-designer-ii,success,success,,,False,False,True,True,,
UX Designer,OneApp,Product Designer - Portland Metro,"Portland, OR",https://www.linkedin.com/jobs/view/product-designer-portland-metro-at-oneapp-4439365621,https://oneapp.rentals/,https://oneapp.rentals/careers/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
UX Designer,Lab37,UI/UX Designer,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/ui-ux-designer-at-lab37-4427109962,https://www.lab37.us/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
UX Designer,Equifax,User Experience (UX) Designer,"Boise, ID",https://www.linkedin.com/jobs/view/user-experience-ux-designer-at-equifax-4439438787,https://www.equifax.com/,https://www.equifax.com/about-equifax/culture-careers/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
UX Designer,HP,Product Designer,"Vancouver, WA",https://www.linkedin.com/jobs/view/product-designer-at-hp-4438838410,https://developers.hp.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
UX Designer,Milwaukee Tool,UX/UI Product Designer,"Brookfield, WI",https://www.linkedin.com/jobs/view/ux-ui-product-designer-at-milwaukee-tool-4434655043,https://www.milwaukeetool.com,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
UX Designer,Fabric,Product Designer,"New York, NY",https://www.linkedin.com/jobs/view/product-designer-at-fabric-4425643348,https://www.amazon.com/fabric/b/?ie=UTF8&node=12899121,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
UX Designer,Dechert LLP,UX Designer,"Philadelphia, PA",https://www.linkedin.com/jobs/view/ux-designer-at-dechert-llp-4438146712,https://www.dechert.com,https://www.dechert.com/careers.html,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
UX Designer,Prophetic,UX Designer,"Portland, OR",https://www.linkedin.com/jobs/view/ux-designer-at-prophetic-4430273063,https://www.prophetic.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
UX Designer,Slant CRM,Product Designer,"Lehi, UT",https://www.linkedin.com/jobs/view/product-designer-at-slant-crm-4335431264,https://www.slant.app/,https://jobs.ashbyhq.com/slant,https://jobs.ashbyhq.com/slant,https://jobs.ashbyhq.com/slant/1d5a754e-593d-445e-a605-89e674eb077f,success,success,,,False,False,True,True,,
UX Designer,"Steampunk, Inc.",UI/UX Designer,"McLean, VA",https://www.linkedin.com/jobs/view/ui-ux-designer-at-steampunk-inc-4290752432,https://careers-steampunk.icims.com,https://careers-steampunk.icims.com/jobs,https://careers-steampunk.icims.com/jobs,,success,partial,,OPENING_DISCOVERY_INCOMPLETE,False,False,False,False,,
Project Manager,Brown and Caldwell,Project Manager,"Wailuku, HI",https://www.linkedin.com/jobs/view/project-manager-at-brown-and-caldwell-4433489743,https://brownandcaldwell.com,https://recruiting2.ultipro.com/BRO1018BRACA/JobBoard/a06992cf-10e7-4e24-8932-26d607a3049e,https://recruiting2.ultipro.com/BRO1018BRACA/JobBoard/a06992cf-10e7-4e24-8932-26d607a3049e/,https://recruiting2.ultipro.com/BRO1018BRACA/JobBoard/a06992cf-10e7-4e24-8932-26d607a3049e/OpportunityDetail?opportunityId=40df8551-4d1c-475f-b0b8-52ae2594435f,success,success,,,False,False,True,True,,
Project Manager,STRIKE,Project Manager,"Corpus Christi, TX",https://www.linkedin.com/jobs/view/project-manager-at-strike-4420466895,https://strike.com,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Project Manager,QXO,Project Manager,"Rathdrum, ID",https://www.linkedin.com/jobs/view/project-manager-at-qxo-4441635475,https://www.qxo.com/,https://jobs.qxo.com/careers-home,https://jobs.qxo.com/jobs,,success,partial,,OPENING_NOT_FOUND,False,False,False,False,,
Project Manager,American Fabrication Inc.,Project Manager,"Idaho Falls, ID",https://www.linkedin.com/jobs/view/project-manager-at-american-fabrication-inc-4435856709,https://www.americanfabrication.com,https://www.amfab.us/careers,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Project Manager,ProMach,Project Manager,"Huntington, IN",https://www.linkedin.com/jobs/view/project-manager-at-promach-4437572476,https://www.promach.com/,,,,partial,failed,career_page_not_found,CAREER_PAGE_NOT_FOUND,False,False,False,False,,
Project Manager,System One,Project Manager,Beaumont-Port Arthur Area,https://www.linkedin.com/jobs/view/project-manager-at-system-one-4434872384,https://www.systemone.com/,https://www.systemone.com/careers/job-search-tips/,https://jobs.systemone.com/l/recruiting/jobsearchaction/b440eda6-9cc2-11e4-a7c5-bc764e10782d/73ce37d4-8213-11f1-b0c9-024201c20d84/false?sortBy=beginTime&term=Project+Manager,https://jobs.systemone.com/job/project-manager-engineering-beaverton-or-97768/e005de08-7b10-11f1-88d1-024201c20d84,success,success,,,False,False,False,False,,
Project Manager,WENDEL Companies,Project Manager,"Albany, NY",https://www.linkedin.com/jobs/view/project-manager-at-wendel-companies-4419993513,https://wendelcompanies.com/,https://wendelcompanies.com/about/working-at-wendel/careers/,https://wendelcompanies.com/about/working-at-wendel/careers/,https://wendelcompanies.com/careers/senior-project-construction-manager/,success,success,,,False,False,True,True,,
Project Manager,Team Royal,Project Manager,"Lafayette, LA",https://www.linkedin.com/jobs/view/project-manager-at-team-royal-4437878290,https://royal.us,https://royal.us/scholarship-opportunities/,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
Project Manager,BWXT,Project Manager,"Idaho Falls, ID",https://www.linkedin.com/jobs/view/project-manager-at-bwxt-4421960984,https://www.bwxt.com/,https://www.bwxt.com/careers/,https://careers.bwxt.com/search/?createNewAlert=false&q=Project+Manager,https://careers.bwxt.com/job/Idaho-Falls-Project-Manager-ID/1397555300/,success,success,,,False,False,False,False,,
Project Manager,Crawford Thomas Recruiting,Project Manager,"Donalsonville, GA",https://www.linkedin.com/jobs/view/project-manager-at-crawford-thomas-recruiting-4441119775,https://www.crawfordthomas.com/,https://www.crawfordthomas.com/candidates/jobs/,https://www.crawfordthomas.com/candidates/jobs/,,success,partial,,NETWORK_TIMEOUT,False,False,False,False,,
Project Manager,WENDEL Companies,Project Manager,"Williamsville, NY",https://www.linkedin.com/jobs/view/project-manager-at-wendel-companies-4433535345,https://wendelcompanies.com/,https://wendelcompanies.com/about/working-at-wendel/careers/,https://wendelcompanies.com/about/working-at-wendel/careers/,https://wendelcompanies.com/careers/senior-project-construction-manager/,success,success,,,False,False,True,True,,
Project Manager,Conrad Consulting,Project Manager,"Toledo, OH",https://www.linkedin.com/jobs/view/project-manager-at-conrad-consulting-4433266836,https://www.conradconsulting.com/,https://www.conradconsulting.com/list_vacancies.php,,,partial,partial,job_board_not_found,JOB_BOARD_NOT_FOUND,False,False,False,False,,
